Faithfulness Score,Answer Relevancy,Context Precision Score,Context Recall Score,Similarity threshold,Chunk Size,Chunk overlap
0.6666666666666667,0.9237041196073875,0.13333333333333333,1.0,0.2,1000.0,150.0
0.6666666666666667,0.9236613992188721,0.13333333333333333,1.0,0.3,1000.0,150.0
0.6666666666666667,0.9236613992188721,0.13333333333333333,1.0,0.4,1000.0,150.0
0.6666666666666667,0.9236613992188721,0.13333333333333333,1.0,0.5,1000.0,150.0
0.6666666666666667,0.9236613992188721,0.13333333333333333,1.0,0.6,1000.0,150.0
0.6666666666666667,0.9236613992188721,0.13333333333333333,1.0,0.7,1000.0,150.0
0.8333333333333334,0.9714300745928437,0.21428571428571427,0.0,0.2,1000.0,150.0
1.0,0.9714300745928437,0.21428571428571427,0.0,0.3,1000.0,150.0
1.0,0.9714300745928437,0.21428571428571427,0.0,0.4,1000.0,150.0
1.0,0.973172934876513,0.21428571428571427,0.0,0.5,1000.0,150.0
1.0,0.9714300745928437,0.21428571428571427,0.0,0.6,1000.0,150.0
0.7142857142857143,0.9714300745928437,0.21428571428571427,0.0,0.7,1000.0,150.0
1.0,0.9313104685054882,0.2222222222222222,0.0,0.2,1000.0,150.0
1.0,0.9184555203570816,0.2222222222222222,0.0,0.3,1000.0,150.0
1.0,0.9181091355882872,0.2222222222222222,0.0,0.4,1000.0,150.0
0.8666666666666667,0.9175072427577797,0.2222222222222222,0.0,0.5,1000.0,150.0
0.5714285714285714,0.9202478942853949,0.2222222222222222,0.0,0.6,1000.0,150.0
0.8333333333333334,0.9313104685054882,0.2222222222222222,0.0,0.7,1000.0,150.0
1.0,0.904414380596155,0.06493506493506493,1.0,0.2,1000.0,150.0
1.0,0.9029530201428329,0.06493506493506493,1.0,0.3,1000.0,150.0
0.8571428571428572,0.8830009629028628,0.06493506493506493,1.0,0.4,1000.0,150.0
1.0,0.8963440155730288,0.06493506493506493,1.0,0.5,1000.0,150.0
1.0,0.8941760313479188,0.06493506493506493,1.0,0.6,1000.0,150.0
1.0,0.9712547186685366,0.06493506493506493,1.0,0.7,1000.0,150.0
0.5,0.9015689326310602,0.0,0.2,0.2,1000.0,150.0
0.5,0.8935961868453167,0.0,0.25,0.3,1000.0,150.0
0.25,0.899383969602534,0.0,0.25,0.4,1000.0,150.0
0.8333333333333334,0.8951027500278581,0.0,0.2,0.5,1000.0,150.0
0.25,0.9024021012076231,0.0,0.25,0.6,1000.0,150.0
0.5,0.9019208275196905,0.0,0.2,0.7,1000.0,150.0
0.0,0.966500629700601,0.05714285714285714,0.8,0.2,1000.0,150.0
0.25,0.913791760788447,0.05714285714285714,0.8,0.3,1000.0,150.0
0.19999999999999996,0.8806594064263377,0.05714285714285714,0.8,0.4,1000.0,150.0
0.19999999999999996,0.7228837444869743,0.05714285714285714,0.8,0.5,1000.0,150.0
0.0,0.7996020853926518,0.05714285714285714,0.6,0.6,1000.0,150.0
0.0,0.9664753568126566,0.05714285714285714,0.8,0.7,1000.0,150.0
