Faithfulness Score,Answer Relevancy,Context Precision Score,Context Recall Score,Top K,Chunk Size,Chunk overlap
0.6666666666666667,0.9236613992188721,0.13333333333333333,1.0,0.2,1000.0,150.0
0.6666666666666667,0.923658661181212,0.13333333333333333,1.0,0.4,1000.0,150.0
0.6666666666666667,0.9236600302000418,0.13333333333333333,1.0,0.6,1000.0,150.0
1.0,0.9714300745928437,0.21428571428571427,0.0,0.2,1000.0,150.0
1.0,0.9714167591154689,0.21428571428571427,0.0,0.4,1000.0,150.0
0.875,0.9740352818907426,0.21428571428571427,0.0,0.6,1000.0,150.0
1.0,0.9452663177227487,0.2222222222222222,0.0,0.2,1000.0,150.0
0.7333333333333334,0.927615747048355,0.0,0.0,0.4,1000.0,150.0
0.7058823529411764,0.9270001933748563,0.2222222222222222,0.0,0.6,1000.0,150.0
0.8333333333333334,0.9162184870537616,0.06493506493506493,1.0,0.2,1000.0,150.0
0.6666666666666667,0.9413112039534388,0.06493506493506493,1.0,0.4,1000.0,150.0
0.8,0.9548324772498987,0.06493506493506493,1.0,0.6,1000.0,150.0
0.6666666666666667,0.8991235865231809,0.0,0.2,0.2,1000.0,150.0
0.25,0.8954607432343922,0.0,0.25,0.4,1000.0,150.0
0.4,0.8965995744885328,0.0,0.25,0.6,1000.0,150.0
0.19999999999999996,0.9173170227712947,0.05714285714285714,0.8,0.2,1000.0,150.0
0.5714285714285714,0.856603559963307,0.05714285714285714,0.6,0.4,1000.0,150.0
0.0,0.728490452025962,0.05714285714285714,0.8,0.6,1000.0,150.0
